from,to,status_code,note
/about,/about/,301,"URL renamed from /about to /about-us.html"
/case-study,/impact-stories/,301,"Case study moved to impact stories"
/contact,/contact/,301,"URL renamed from /contact to /contact-us.html"
/courses,/for-students/,301,"Courses index not created yet - redirect to students"
/discord,/contact/,301,"Discord form - redirect to contact (form TBD)"
/for-companies,/,301,"Companies page retired - redirect to home"
/for-students-2024,/for-students/,301,"Old students page URL"
/for-universities,/for-universities/,301,"URL renamed from /for-universities to /higher-ed.html"
/futuremakers-track-1,/for-students/,301,"FutureMakers resources consolidated"
/futuremakers-track-2,/for-students/,301,"FutureMakers resources consolidated"
/futuremakers-track-3,/for-students/,301,"FutureMakers resources consolidated"
/getting-started-1,/for-students/,301,"Getting started guide - redirect to students"
/join-newsletter,/contact/,301,"Newsletter form - redirect to contact (form TBD)"
/sel-checkout,/,301,"SEL checkout retired - redirect to home"
/store,/,301,"Store retired - redirect to home"
/surestart,/,301,"Legacy home alias"
/vibe-lab,/for-students/,301,"Vibe Lab page not created yet - redirect to students"
/vibe-lab-sneak-peek,/for-students/,301,"Vibe Lab sneak peek - redirect to students"
